Created as New Dataset,Sample 003 By Administrator Date Thursday, December 10 2020
cm-1,%T
3650.00,87.86
3649.00,87.44
3648.00,87.10
3647.00,86.95
3646.00,86.90
3645.00,86.88
3644.00,86.81
3643.00,86.70
3642.00,86.57
3641.00,86.42
3640.00,86.26
3639.00,86.09
3638.00,85.93
3637.00,85.80
3636.00,85.70
3635.00,85.61
3634.00,85.51
3633.00,85.42
3632.00,85.33
3631.00,85.17
3630.00,84.91
3629.00,84.56
3628.00,84.28
3627.00,84.14
3626.00,84.06
3625.00,84.00
3624.00,83.94
3623.00,83.87
3622.00,83.78
3621.00,83.66
3620.00,83.48
3619.00,83.28
3618.00,83.08
3617.00,82.92
3616.00,82.78
3615.00,82.63
3614.00,82.48
3613.00,82.33
3612.00,82.20
3611.00,82.08
3610.00,81.92
3609.00,81.73
3608.00,81.55
3607.00,81.43
3606.00,81.37
3605.00,81.32
3604.00,81.24
3603.00,81.10
3602.00,80.92
3601.00,80.73
3600.00,80.56
3599.00,80.44
3598.00,80.36
3597.00,80.30
3596.00,80.25
3595.00,80.18
3594.00,80.08
3593.00,79.98
3592.00,79.87
3591.00,79.76
3590.00,79.61
3589.00,79.40
3588.00,79.16
3587.00,78.94
3586.00,78.78
3585.00,78.63
3584.00,78.47
3583.00,78.31
3582.00,78.15
3581.00,77.99
3580.00,77.86
3579.00,77.76
3578.00,77.68
3577.00,77.59
3576.00,77.47
3575.00,77.29
3574.00,77.10
3573.00,76.92
3572.00,76.79
3571.00,76.70
3570.00,76.62
3569.00,76.51
3568.00,76.33
3567.00,76.11
3566.00,75.92
3565.00,75.78
3564.00,75.68
3563.00,75.57
3562.00,75.46
3561.00,75.34
3560.00,75.24
3559.00,75.12
3558.00,74.97
3557.00,74.79
3556.00,74.59
3555.00,74.38
3554.00,74.18
3553.00,74.00
3552.00,73.84
3551.00,73.71
3550.00,73.62
3549.00,73.53
3548.00,73.44
3547.00,73.31
3546.00,73.14
3545.00,72.94
3544.00,72.75
3543.00,72.57
3542.00,72.40
3541.00,72.23
3540.00,72.06
3539.00,71.89
3538.00,71.74
3537.00,71.59
3536.00,71.44
3535.00,71.30
3534.00,71.17
3533.00,71.05
3532.00,70.92
3531.00,70.75
3530.00,70.57
3529.00,70.39
3528.00,70.22
3527.00,70.06
3526.00,69.91
3525.00,69.76
3524.00,69.60
3523.00,69.43
3522.00,69.27
3521.00,69.14
3520.00,69.02
3519.00,68.92
3518.00,68.81
3517.00,68.67
3516.00,68.51
3515.00,68.36
3514.00,68.23
3513.00,68.13
3512.00,68.03
3511.00,67.90
3510.00,67.73
3509.00,67.56
3508.00,67.41
3507.00,67.29
3506.00,67.16
3505.00,66.97
3504.00,66.73
3503.00,66.48
3502.00,66.27
3501.00,66.14
3500.00,66.05
3499.00,65.96
3498.00,65.85
3497.00,65.69
3496.00,65.52
3495.00,65.36
3494.00,65.22
3493.00,65.09
3492.00,64.96
3491.00,64.80
3490.00,64.62
3489.00,64.43
3488.00,64.26
3487.00,64.12
3486.00,64.00
3485.00,63.88
3484.00,63.73
3483.00,63.56
3482.00,63.37
3481.00,63.20
3480.00,63.06
3479.00,62.96
3478.00,62.87
3477.00,62.74
3476.00,62.59
3475.00,62.42
3474.00,62.26
3473.00,62.12
3472.00,61.97
3471.00,61.83
3470.00,61.67
3469.00,61.53
3468.00,61.41
3467.00,61.28
3466.00,61.16
3465.00,61.02
3464.00,60.88
3463.00,60.73
