Created as New Dataset,Sample 002 By Administrator Date Thursday, December 10 2020
cm-1,%T
3650.00,89.76
3649.00,89.42
3648.00,89.16
3647.00,89.00
3646.00,88.92
3645.00,88.88
3644.00,88.83
3643.00,88.75
3642.00,88.63
3641.00,88.50
3640.00,88.38
3639.00,88.27
3638.00,88.16
3637.00,88.03
3636.00,87.89
3635.00,87.71
3634.00,87.52
3633.00,87.36
3632.00,87.25
3631.00,87.15
3630.00,86.98
3629.00,86.66
3628.00,86.32
3627.00,86.10
3626.00,85.97
3625.00,85.90
3624.00,85.84
3623.00,85.80
3622.00,85.74
3621.00,85.62
3620.00,85.40
3619.00,85.13
3618.00,84.89
3617.00,84.72
3616.00,84.60
3615.00,84.48
3614.00,84.33
3613.00,84.16
3612.00,84.00
3611.00,83.82
3610.00,83.61
3609.00,83.36
3608.00,83.13
3607.00,82.97
3606.00,82.89
3605.00,82.84
3604.00,82.77
3603.00,82.65
3602.00,82.49
3601.00,82.30
3600.00,82.13
3599.00,81.98
3598.00,81.86
3597.00,81.73
3596.00,81.57
3595.00,81.40
3594.00,81.25
3593.00,81.16
3592.00,81.10
3591.00,81.03
3590.00,80.93
3589.00,80.74
3588.00,80.46
3587.00,80.16
3586.00,79.92
3585.00,79.72
3584.00,79.56
3583.00,79.42
3582.00,79.31
3581.00,79.20
3580.00,79.09
3579.00,78.95
3578.00,78.79
3577.00,78.62
3576.00,78.44
3575.00,78.24
3574.00,78.03
3573.00,77.83
3572.00,77.67
3571.00,77.56
3570.00,77.47
3569.00,77.34
3568.00,77.12
3567.00,76.85
3566.00,76.62
3565.00,76.46
3564.00,76.34
3563.00,76.22
3562.00,76.08
3561.00,75.95
3560.00,75.83
3559.00,75.72
3558.00,75.58
3557.00,75.43
3556.00,75.26
3555.00,75.10
3554.00,74.95
3553.00,74.80
3552.00,74.63
3551.00,74.46
3550.00,74.29
3549.00,74.13
3548.00,73.96
3547.00,73.78
3546.00,73.59
3545.00,73.39
3544.00,73.19
3543.00,73.00
3542.00,72.84
3541.00,72.68
3540.00,72.54
3539.00,72.41
3538.00,72.28
3537.00,72.14
3536.00,71.99
3535.00,71.81
3534.00,71.65
3533.00,71.50
3532.00,71.37
3531.00,71.23
3530.00,71.06
3529.00,70.85
3528.00,70.65
3527.00,70.47
3526.00,70.32
3525.00,70.19
3524.00,70.03
3523.00,69.86
3522.00,69.68
3521.00,69.53
3520.00,69.40
3519.00,69.29
3518.00,69.18
3517.00,69.06
3516.00,68.93
3515.00,68.80
3514.00,68.67
3513.00,68.56
3512.00,68.42
3511.00,68.24
3510.00,68.02
3509.00,67.79
3508.00,67.60
3507.00,67.43
3506.00,67.25
3505.00,67.07
3504.00,66.89
3503.00,66.74
3502.00,66.61
3501.00,66.51
3500.00,66.42
3499.00,66.32
3498.00,66.21
3497.00,66.07
3496.00,65.91
3495.00,65.73
3494.00,65.55
3493.00,65.37
3492.00,65.20
3491.00,65.03
3490.00,64.87
3489.00,64.71
3488.00,64.58
3487.00,64.46
3486.00,64.34
3485.00,64.22
3484.00,64.08
3483.00,63.92
3482.00,63.75
3481.00,63.61
3480.00,63.47
3479.00,63.32
3478.00,63.15
3477.00,62.98
3476.00,62.83
3475.00,62.69
3474.00,62.57
3473.00,62.45
3472.00,62.33
3471.00,62.20
3470.00,62.07
3469.00,61.94
3468.00,61.81
3467.00,61.67
3466.00,61.55
3465.00,61.43
3464.00,61.33
3463.00,61.22
3462.00,61.07
3461.00,60.88
3460.00,60.68
3459.00,60.51
3458.00,60.38
3457.00,60.26
3456.00,60.15
3455.00,60.04
3454.00,59.92
3453.00,59.78
3452.00,59.65
3451.00,59.52
3450.00,59.39
3449.00,59.26
3448.00,59.12
3447.00,58.98
3446.00,58.85
3445.00,58.74
3444.00,58.63
3443.00,58.51
3442.00,58.37
3441.00,58.20
3440.00,58.04
3439.00,57.90
3438.00,57.76
3437.00,57.63
3436.00,57.49
3435.00,57.35
3434.00,57.21
3433.00,57.06
3432.00,56.91
3431.00,56.80
3430.00,56.75
3429.00,56.73
3428.00,56.72
3427.00,56.65
3426.00,56.54
3425.00,56.38
3424.00,56.21
3423.00,56.05
3422.00,55.91
3421.00,55.79
3420.00,55.71
3419.00,55.64
3418.00,55.55
3417.00,55.45
3416.00,55.31
3415.00,55.18
3414.00,55.05
3413.00,54.94
3412.00,54.86
3411.00,54.79
3410.00,54.71
3409.00,54.62
3408.00,54.52
3407.00,54.43
3406.00,54.33
3405.00,54.22
3404.00,54.11
3403.00,54.00
3402.00,53.92
3401.00,53.85
3400.00,53.80
3399.00,53.74
3398.00,53.66
3397.00,53.56
3396.00,53.46
3395.00,53.39
3394.00,53.34
3393.00,53.30
3392.00,53.28
3391.00,53.26
3390.00,53.25
3389.00,53.23
3388.00,53.19
3387.00,53.13
3386.00,53.03
3385.00,52.93
3384.00,52.82
3383.00,52.74
3382.00,52.66
3381.00,52.59
3380.00,52.52
3379.00,52.46
3378.00,52.43
3377.00,52.41
3376.00,52.39
3375.00,52.37
3374.00,52.34
3373.00,52.29
3372.00,52.21
3371.00,52.12
3370.00,52.04
3369.00,51.99
3368.00,51.97
3367.00,51.98
3366.00,51.97
3365.00,51.94
3364.00,51.87
3363.00,51.77
3362.00,51.69
3361.00,51.64
3360.00,51.61
3359.00,51.58
3358.00,51.55
3357.00,51.52
3356.00,51.51
3355.00,51.51
3354.00,51.50
3353.00,51.47
3352.00,51.43
3351.00,51.40
3350.00,51.37
3349.00,51.35
3348.00,51.35
3347.00,51.37
3346.00,51.39
3345.00,51.41
3344.00,51.41
3343.00,51.40
3342.00,51.40
3341.00,51.40
3340.00,51.38
3339.00,51.35
3338.00,51.30
3337.00,51.28
3336.00,51.29
3335.00,51.31
3334.00,51.33
3333.00,51.34
3332.00,51.35
3331.00,51.34
3330.00,51.32
3329.00,51.30
3328.00,51.27
3327.00,51.25
3326.00,51.24
3325.00,51.24
3324.00,51.25
3323.00,51.26
3322.00,51.29
3321.00,51.34
3320.00,51.39
3319.00,51.41
3318.00,51.38
3317.00,51.33
3316.00,51.30
3315.00,51.27
3314.00,51.24
3313.00,51.20
3312.00,51.16
3311.00,51.14
3310.00,51.13
3309.00,51.14
3308.00,51.15
3307.00,51.16
3306.00,51.14
3305.00,51.10
3304.00,51.06
3303.00,51.03
3302.00,51.03
3301.00,51.07
3300.00,51.11
3299.00,51.14
3298.00,51.14
3297.00,51.13
3296.00,51.12
3295.00,51.12
3294.00,51.10
3293.00,51.09
3292.00,51.07
3291.00,51.07
3290.00,51.08
3289.00,51.11
3288.00,51.13
3287.00,51.13
3286.00,51.11
3285.00,51.08
3284.00,51.06
3283.00,51.03
3282.00,51.01
3281.00,50.98
3280.00,50.97
3279.00,50.97
3278.00,51.02
3277.00,51.07
3276.00,51.10
3275.00,51.09
3274.00,51.05
3273.00,51.01
3272.00,51.00
3271.00,51.01
3270.00,51.02
3269.00,51.02
3268.00,51.01
3267.00,51.01
3266.00,51.02
3265.00,51.04
3264.00,51.08
3263.00,51.11
3262.00,51.14
3261.00,51.17
3260.00,51.19
3259.00,51.21
3258.00,51.23
3257.00,51.24
3256.00,51.24
3255.00,51.24
3254.00,51.24
3253.00,51.26
3252.00,51.32
3251.00,51.41
3250.00,51.52
3249.00,51.60
3248.00,51.65
3247.00,51.64
3246.00,51.60
3245.00,51.58
3244.00,51.61
3243.00,51.68
3242.00,51.80
3241.00,51.94
3240.00,52.04
3239.00,52.10
3238.00,52.12
3237.00,52.11
3236.00,52.11
3235.00,52.12
3234.00,52.17
3233.00,52.24
3232.00,52.32
3231.00,52.40
3230.00,52.45
3229.00,52.49
3228.00,52.53
3227.00,52.59
3226.00,52.65
3225.00,52.71
3224.00,52.77
3223.00,52.84
3222.00,52.92
3221.00,52.99
3220.00,53.05
3219.00,53.10
3218.00,53.14
3217.00,53.21
3216.00,53.30
3215.00,53.40
3214.00,53.51
3213.00,53.61
3212.00,53.69
3211.00,53.75
3210.00,53.80
3209.00,53.88
3208.00,53.98
3207.00,54.10
3206.00,54.23
3205.00,54.39
3204.00,54.55
3203.00,54.70
3202.00,54.81
3201.00,54.88
3200.00,54.92
3199.00,54.98
3198.00,55.06
3197.00,55.19
3196.00,55.34
3195.00,55.48
3194.00,55.59
3193.00,55.68
3192.00,55.76
3191.00,55.84
3190.00,55.95
3189.00,56.08
3188.00,56.24
3187.00,56.40
3186.00,56.55
3185.00,56.70
3184.00,56.86
3183.00,57.03
3182.00,57.20
3181.00,57.36
3180.00,57.52
3179.00,57.67
3178.00,57.81
3177.00,57.93
3176.00,58.03
3175.00,58.12
3174.00,58.25
3173.00,58.42
3172.00,58.63
3171.00,58.84
3170.00,59.01
3169.00,59.15
3168.00,59.29
3167.00,59.41
3166.00,59.51
3165.00,59.61
3164.00,59.73
3163.00,59.89
3162.00,60.08
3161.00,60.26
3160.00,60.42
3159.00,60.57
3158.00,60.73
3157.00,60.89
3156.00,61.04
3155.00,61.17
3154.00,61.28
3153.00,61.41
3152.00,61.58
3151.00,61.78
3150.00,61.99
3149.00,62.18
3148.00,62.36
3147.00,62.52
3146.00,62.66
3145.00,62.80
3144.00,62.94
3143.00,63.10
3142.00,63.28
3141.00,63.46
3140.00,63.64
3139.00,63.80
3138.00,63.93
3137.00,64.07
3136.00,64.22
3135.00,64.39
3134.00,64.57
3133.00,64.75
3132.00,64.93
3131.00,65.11
3130.00,65.29
3129.00,65.46
3128.00,65.60
3127.00,65.72
3126.00,65.84
3125.00,65.96
3124.00,66.11
3123.00,66.26
3122.00,66.41
3121.00,66.57
3120.00,66.72
3119.00,66.88
3118.00,67.02
3117.00,67.16
3116.00,67.28
3115.00,67.38
3114.00,67.49
3113.00,67.61
3112.00,67.73
3111.00,67.85
3110.00,67.98
3109.00,68.15
3108.00,68.34
3107.00,68.55
3106.00,68.75
3105.00,68.91
3104.00,69.05
3103.00,69.18
3102.00,69.31
3101.00,69.45
3100.00,69.57
3099.00,69.67
3098.00,69.79
3097.00,69.94
3096.00,70.10
3095.00,70.25
3094.00,70.38
3093.00,70.50
3092.00,70.64
3091.00,70.78
3090.00,70.91
3089.00,71.02
3088.00,71.12
3087.00,71.22
3086.00,71.32
3085.00,71.42
3084.00,71.54
3083.00,71.66
3082.00,71.77
3081.00,71.86
3080.00,71.96
3079.00,72.10
3078.00,72.25
3077.00,72.39
3076.00,72.49
3075.00,72.56
3074.00,72.62
3073.00,72.72
3072.00,72.85
3071.00,73.00
3070.00,73.14
3069.00,73.27
3068.00,73.41
3067.00,73.55
3066.00,73.70
3065.00,73.84
3064.00,73.97
3063.00,74.09
3062.00,74.23
3061.00,74.37
3060.00,74.51
3059.00,74.64
3058.00,74.75
3057.00,74.85
3056.00,74.95
3055.00,75.07
3054.00,75.20
3053.00,75.34
3052.00,75.48
3051.00,75.61
3050.00,75.75
3049.00,75.89
3048.00,76.05
3047.00,76.21
3046.00,76.34
3045.00,76.45
3044.00,76.58
3043.00,76.73
3042.00,76.89
3041.00,77.02
3040.00,77.11
3039.00,77.19
3038.00,77.28
3037.00,77.41
3036.00,77.55
3035.00,77.70
3034.00,77.85
3033.00,77.99
3032.00,78.12
3031.00,78.23
3030.00,78.31
3029.00,78.38
