Created as New Dataset,Sample 004 By Administrator Date Thursday, December 10 2020
cm-1,%T
3650.00,86.90
3649.00,86.47
3648.00,86.16
3647.00,86.02
3646.00,85.95
3645.00,85.87
3644.00,85.77
3643.00,85.64
3642.00,85.48
3641.00,85.32
3640.00,85.15
3639.00,84.99
3638.00,84.85
3637.00,84.74
3636.00,84.65
3635.00,84.56
3634.00,84.48
3633.00,84.39
3632.00,84.30
3631.00,84.18
3630.00,83.94
3629.00,83.62
3628.00,83.35
3627.00,83.20
3626.00,83.13
3625.00,83.07
3624.00,83.00
3623.00,82.92
3622.00,82.80
3621.00,82.65
3620.00,82.45
3619.00,82.25
3618.00,82.10
3617.00,82.00
3616.00,81.90
3615.00,81.78
3614.00,81.64
3613.00,81.49
3612.00,81.35
3611.00,81.20
3610.00,81.03
3609.00,80.84
3608.00,80.68
3607.00,80.59
3606.00,80.53
3605.00,80.47
3604.00,80.36
3603.00,80.19
3602.00,79.98
3601.00,79.77
3600.00,79.60
3599.00,79.51
3598.00,79.45
3597.00,79.39
3596.00,79.29
3595.00,79.14
3594.00,78.96
3593.00,78.80
3592.00,78.68
3591.00,78.59
3590.00,78.50
3589.00,78.35
3588.00,78.15
3587.00,77.94
3586.00,77.78
3585.00,77.68
3584.00,77.59
3583.00,77.52
3582.00,77.44
3581.00,77.34
3580.00,77.21
3579.00,77.05
3578.00,76.87
3577.00,76.70
3576.00,76.56
3575.00,76.41
3574.00,76.25
3573.00,76.09
3572.00,75.96
3571.00,75.86
3570.00,75.77
3569.00,75.66
3568.00,75.50
3567.00,75.30
3566.00,75.11
3565.00,74.96
3564.00,74.84
3563.00,74.73
3562.00,74.63
3561.00,74.51
3560.00,74.37
3559.00,74.22
3558.00,74.05
3557.00,73.88
3556.00,73.73
3555.00,73.59
3554.00,73.46
3553.00,73.30
3552.00,73.14
3551.00,72.99
3550.00,72.85
3549.00,72.70
3548.00,72.53
3547.00,72.36
3546.00,72.21
3545.00,72.09
3544.00,71.96
3543.00,71.80
3542.00,71.63
3541.00,71.46
3540.00,71.32
3539.00,71.20
3538.00,71.07
3537.00,70.93
3536.00,70.76
3535.00,70.58
3534.00,70.43
3533.00,70.32
3532.00,70.23
3531.00,70.13
3530.00,69.99
3529.00,69.79
3528.00,69.58
3527.00,69.40
3526.00,69.26
3525.00,69.12
3524.00,68.93
3523.00,68.72
3522.00,68.53
3521.00,68.39
3520.00,68.29
3519.00,68.20
3518.00,68.08
3517.00,67.94
3516.00,67.79
3515.00,67.64
3514.00,67.50
3513.00,67.35
3512.00,67.19
3511.00,67.04
3510.00,66.92
3509.00,66.81
3508.00,66.70
3507.00,66.57
3506.00,66.41
3505.00,66.24
3504.00,66.07
3503.00,65.91
3502.00,65.78
3501.00,65.66
3500.00,65.53
3499.00,65.40
3498.00,65.26
3497.00,65.13
