Created as New Dataset,Sample 001 By Administrator Date Thursday, December 10 2020
cm-1,%T
3650.00,90.31
3649.00,90.07
3648.00,89.80
3647.00,89.56
3646.00,89.38
3645.00,89.26
3644.00,89.14
3643.00,89.02
3642.00,88.88
3641.00,88.73
3640.00,88.58
3639.00,88.42
3638.00,88.27
3637.00,88.13
3636.00,88.00
3635.00,87.89
3634.00,87.80
3633.00,87.74
3632.00,87.69
3631.00,87.58
3630.00,87.34
3629.00,86.96
3628.00,86.60
3627.00,86.40
3626.00,86.29
3625.00,86.22
3624.00,86.17
3623.00,86.14
3622.00,86.12
3621.00,86.07
3620.00,85.94
3619.00,85.70
3618.00,85.41
3617.00,85.14
3616.00,84.92
3615.00,84.75
3614.00,84.61
3613.00,84.52
3612.00,84.44
3611.00,84.33
3610.00,84.16
3609.00,83.93
3608.00,83.71
3607.00,83.56
3606.00,83.50
3605.00,83.46
3604.00,83.39
3603.00,83.25
3602.00,83.06
3601.00,82.85
3600.00,82.67
3599.00,82.54
3598.00,82.44
3597.00,82.36
3596.00,82.25
3595.00,82.12
3594.00,81.97
3593.00,81.83
3592.00,81.71
3591.00,81.61
3590.00,81.51
3589.00,81.38
3588.00,81.21
3587.00,81.02
3586.00,80.83
3585.00,80.64
3584.00,80.45
3583.00,80.28
3582.00,80.13
3581.00,80.01
3580.00,79.90
3579.00,79.79
3578.00,79.66
3577.00,79.51
3576.00,79.34
3575.00,79.14
3574.00,78.92
3573.00,78.71
3572.00,78.54
3571.00,78.40
3570.00,78.28
3569.00,78.13
3568.00,77.96
3567.00,77.78
3566.00,77.65
3565.00,77.56
3564.00,77.45
3563.00,77.31
3562.00,77.15
3561.00,76.98
3560.00,76.81
3559.00,76.65
3558.00,76.51
3557.00,76.37
3556.00,76.24
3555.00,76.10
3554.00,75.93
3553.00,75.74
3552.00,75.55
3551.00,75.40
3550.00,75.28
3549.00,75.15
3548.00,74.97
3547.00,74.76
3546.00,74.55
3545.00,74.38
3544.00,74.26
3543.00,74.14
3542.00,74.01
3541.00,73.87
3540.00,73.72
3539.00,73.55
3538.00,73.37
3537.00,73.16
3536.00,72.96
3535.00,72.78
3534.00,72.65
3533.00,72.55
3532.00,72.46
3531.00,72.35
3530.00,72.20
3529.00,72.01
3528.00,71.81
3527.00,71.61
3526.00,71.41
3525.00,71.18
3524.00,70.91
3523.00,70.64
3522.00,70.43
3521.00,70.30
3520.00,70.24
3519.00,70.19
3518.00,70.10
3517.00,69.94
3516.00,69.74
3515.00,69.53
3514.00,69.34
3513.00,69.19
3512.00,69.07
3511.00,68.97
3510.00,68.85
3509.00,68.72
3508.00,68.58
3507.00,68.45
3506.00,68.31
3505.00,68.16
3504.00,67.96
3503.00,67.75
3502.00,67.55
3501.00,67.38
3500.00,67.24
3499.00,67.12
3498.00,66.98
3497.00,66.83
3496.00,66.68
3495.00,66.51
3494.00,66.34
3493.00,66.17
3492.00,66.00
3491.00,65.82
3490.00,65.64
3489.00,65.46
3488.00,65.30
3487.00,65.15
3486.00,65.02
3485.00,64.88
3484.00,64.73
