Created as New Dataset,Sample 000 By Administrator Date Thursday, December 10 2020
cm-1,%T
3650.00,87.73
3649.00,87.40
3648.00,87.17
3647.00,87.04
3646.00,86.96
3645.00,86.87
3644.00,86.75
3643.00,86.58
3642.00,86.39
3641.00,86.21
3640.00,86.06
3639.00,85.95
3638.00,85.86
3637.00,85.77
3636.00,85.66
3635.00,85.52
3634.00,85.38
3633.00,85.26
3632.00,85.16
3631.00,85.06
3630.00,84.90
3629.00,84.65
3628.00,84.40
3627.00,84.20
3626.00,84.05
3625.00,83.93
3624.00,83.82
3623.00,83.73
3622.00,83.64
3621.00,83.51
3620.00,83.33
3619.00,83.12
3618.00,82.92
3617.00,82.75
3616.00,82.61
3615.00,82.51
3614.00,82.44
3613.00,82.39
3612.00,82.30
3611.00,82.17
3610.00,81.97
3609.00,81.75
3608.00,81.57
3607.00,81.48
3606.00,81.44
3605.00,81.39
3604.00,81.30
3603.00,81.13
3602.00,80.89
3601.00,80.62
3600.00,80.39
3599.00,80.24
3598.00,80.18
3597.00,80.15
3596.00,80.09
3595.00,79.98
3594.00,79.82
3593.00,79.66
3592.00,79.53
3591.00,79.42
3590.00,79.30
3589.00,79.15
3588.00,78.98
3587.00,78.83
3586.00,78.69
3585.00,78.54
3584.00,78.37
3583.00,78.19
3582.00,78.05
3581.00,77.95
3580.00,77.86
3579.00,77.76
3578.00,77.62
3577.00,77.45
3576.00,77.27
3575.00,77.08
3574.00,76.90
3573.00,76.75
3572.00,76.62
3571.00,76.51
3570.00,76.40
3569.00,76.27
3568.00,76.11
3567.00,75.93
3566.00,75.75
3565.00,75.57
3564.00,75.40
3563.00,75.24
3562.00,75.10
3561.00,74.98
3560.00,74.87
3559.00,74.75
3558.00,74.63
3557.00,74.51
3556.00,74.39
3555.00,74.28
3554.00,74.15
3553.00,73.97
3552.00,73.76
3551.00,73.55
3550.00,73.36
3549.00,73.20
3548.00,73.07
3547.00,72.96
3546.00,72.84
3545.00,72.67
3544.00,72.46
3543.00,72.24
3542.00,72.06
3541.00,71.93
3540.00,71.82
3539.00,71.70
3538.00,71.56
3537.00,71.39
3536.00,71.19
3535.00,71.00
3534.00,70.81
3533.00,70.63
3532.00,70.46
3531.00,70.27
3530.00,70.09
3529.00,69.93
3528.00,69.79
3527.00,69.70
3526.00,69.63
3525.00,69.52
3524.00,69.35
3523.00,69.12
3522.00,68.89
3521.00,68.73
3520.00,68.62
3519.00,68.54
3518.00,68.43
3517.00,68.30
3516.00,68.16
3515.00,68.02
3514.00,67.88
3513.00,67.73
3512.00,67.58
3511.00,67.43
3510.00,67.28
3509.00,67.11
3508.00,66.95
3507.00,66.78
3506.00,66.61
3505.00,66.43
3504.00,66.26
3503.00,66.12
3502.00,66.01
3501.00,65.91
3500.00,65.80
3499.00,65.65
3498.00,65.48
3497.00,65.30
3496.00,65.14
3495.00,64.99
3494.00,64.87
3493.00,64.74
3492.00,64.61
3491.00,64.47
3490.00,64.32
3489.00,64.15
3488.00,63.97
3487.00,63.81
3486.00,63.65
3485.00,63.50
3484.00,63.35
3483.00,63.19
3482.00,63.04
3481.00,62.90
3480.00,62.78
3479.00,62.65
3478.00,62.51
3477.00,62.36
3476.00,62.21
3475.00,62.05
3474.00,61.88
3473.00,61.70
3472.00,61.53
3471.00,61.36
3470.00,61.20
3469.00,61.06
3468.00,60.92
3467.00,60.78
3466.00,60.64
3465.00,60.52
3464.00,60.41
3463.00,60.28
3462.00,60.12
3461.00,59.94
3460.00,59.75
3459.00,59.60
3458.00,59.48
3457.00,59.40
3456.00,59.33
3455.00,59.24
3454.00,59.12
3453.00,58.94
3452.00,58.74
3451.00,58.54
3450.00,58.37
3449.00,58.23
3448.00,58.09
3447.00,57.94
3446.00,57.80
3445.00,57.66
3444.00,57.54
3443.00,57.42
3442.00,57.30
3441.00,57.15
3440.00,56.98
3439.00,56.80
3438.00,56.62
3437.00,56.46
3436.00,56.34
3435.00,56.25
3434.00,56.14
3433.00,56.02
3432.00,55.88
3431.00,55.73
3430.00,55.58
3429.00,55.44
3428.00,55.33
3427.00,55.25
3426.00,55.19
3425.00,55.13
3424.00,55.04
3423.00,54.92
3422.00,54.76
3421.00,54.59
3420.00,54.41
3419.00,54.26
3418.00,54.11
3417.00,53.98
3416.00,53.85
3415.00,53.73
3414.00,53.61
3413.00,53.50
3412.00,53.41
3411.00,53.32
3410.00,53.23
3409.00,53.13
3408.00,53.02
3407.00,52.91
3406.00,52.81
3405.00,52.71
3404.00,52.62
3403.00,52.53
3402.00,52.43
3401.00,52.31
3400.00,52.16
3399.00,52.01
3398.00,51.89
3397.00,51.82
3396.00,51.78
3395.00,51.74
3394.00,51.68
3393.00,51.58
3392.00,51.48
3391.00,51.39
3390.00,51.32
3389.00,51.27
3388.00,51.23
3387.00,51.18
3386.00,51.13
3385.00,51.05
3384.00,50.97
3383.00,50.90
3382.00,50.84
3381.00,50.78
3380.00,50.70
3379.00,50.62
3378.00,50.56
3377.00,50.51
3376.00,50.46
3375.00,50.41
3374.00,50.35
3373.00,50.28
3372.00,50.23
3371.00,50.17
3370.00,50.10
3369.00,50.00
3368.00,49.91
3367.00,49.85
3366.00,49.82
3365.00,49.82
3364.00,49.80
3363.00,49.75
3362.00,49.70
3361.00,49.66
3360.00,49.64
3359.00,49.63
3358.00,49.62
3357.00,49.60
3356.00,49.55
3355.00,49.50
3354.00,49.45
3353.00,49.43
3352.00,49.43
3351.00,49.43
3350.00,49.42
3349.00,49.42
3348.00,49.43
3347.00,49.44
3346.00,49.42
3345.00,49.36
3344.00,49.29
3343.00,49.22
3342.00,49.17
3341.00,49.16
3340.00,49.16
3339.00,49.17
3338.00,49.19
3337.00,49.22
3336.00,49.24
3335.00,49.23
3334.00,49.22
3333.00,49.21
3332.00,49.22
3331.00,49.24
3330.00,49.24
3329.00,49.22
3328.00,49.18
3327.00,49.15
3326.00,49.12
3325.00,49.11
3324.00,49.12
3323.00,49.15
3322.00,49.18
3321.00,49.21
3320.00,49.22
3319.00,49.22
3318.00,49.22
3317.00,49.21
3316.00,49.21
3315.00,49.20
3314.00,49.19
3313.00,49.17
3312.00,49.15
3311.00,49.15
3310.00,49.14
3309.00,49.14
3308.00,49.14
3307.00,49.15
3306.00,49.18
3305.00,49.20
3304.00,49.22
3303.00,49.21
3302.00,49.20
3301.00,49.19
3300.00,49.19
3299.00,49.20
3298.00,49.23
3297.00,49.27
3296.00,49.31
3295.00,49.33
3294.00,49.35
3293.00,49.34
3292.00,49.33
3291.00,49.32
3290.00,49.28
3289.00,49.24
3288.00,49.19
3287.00,49.15
3286.00,49.15
3285.00,49.17
3284.00,49.22
3283.00,49.25
3282.00,49.26
3281.00,49.24
3280.00,49.23
3279.00,49.22
3278.00,49.23
3277.00,49.25
3276.00,49.28
3275.00,49.30
3274.00,49.29
3273.00,49.25
3272.00,49.20
3271.00,49.18
3270.00,49.20
3269.00,49.26
3268.00,49.32
3267.00,49.35
3266.00,49.35
3265.00,49.31
