Created as New Dataset,Sample 005 By Administrator Date Thursday, December 10 2020
cm-1,%T
3650.00,86.75
3649.00,86.30
3648.00,86.06
3647.00,85.98
3646.00,85.98
3645.00,85.98
3644.00,85.94
3643.00,85.87
3642.00,85.77
3641.00,85.64
3640.00,85.51
3639.00,85.39
3638.00,85.28
3637.00,85.18
3636.00,85.06
3635.00,84.92
3634.00,84.78
3633.00,84.66
3632.00,84.58
3631.00,84.46
3630.00,84.23
3629.00,83.87
3628.00,83.56
3627.00,83.41
3626.00,83.35
3625.00,83.29
3624.00,83.21
3623.00,83.11
3622.00,83.02
3621.00,82.94
3620.00,82.81
3619.00,82.59
3618.00,82.33
3617.00,82.09
3616.00,81.91
3615.00,81.79
3614.00,81.73
3613.00,81.67
3612.00,81.58
3611.00,81.42
3610.00,81.17
3609.00,80.89
3608.00,80.69
3607.00,80.61
3606.00,80.60
3605.00,80.56
3604.00,80.47
3603.00,80.32
3602.00,80.13
3601.00,79.95
3600.00,79.82
3599.00,79.74
3598.00,79.69
3597.00,79.64
3596.00,79.56
3595.00,79.42
3594.00,79.26
3593.00,79.12
3592.00,79.00
3591.00,78.89
3590.00,78.75
3589.00,78.54
3588.00,78.28
3587.00,78.05
3586.00,77.90
3585.00,77.80
3584.00,77.71
3583.00,77.60
3582.00,77.51
3581.00,77.45
3580.00,77.39
3579.00,77.31
3578.00,77.19
3577.00,77.02
3576.00,76.82
3575.00,76.61
3574.00,76.42
3573.00,76.26
3572.00,76.15
3571.00,76.09
3570.00,76.04
3569.00,75.93
3568.00,75.69
3567.00,75.36
3566.00,75.07
3565.00,74.90
3564.00,74.82
3563.00,74.75
3562.00,74.67
3561.00,74.58
3560.00,74.49
3559.00,74.39
3558.00,74.26
3557.00,74.11
3556.00,73.95
3555.00,73.79
3554.00,73.62
3553.00,73.44
3552.00,73.24
3551.00,73.07
3550.00,72.93
3549.00,72.80
3548.00,72.65
3547.00,72.50
3546.00,72.36
3545.00,72.22
3544.00,72.07
3543.00,71.91
3542.00,71.74
3541.00,71.57
3540.00,71.41
3539.00,71.27
3538.00,71.13
3537.00,70.99
3536.00,70.85
3535.00,70.70
3534.00,70.55
3533.00,70.41
3532.00,70.30
3531.00,70.19
3530.00,70.06
3529.00,69.90
3528.00,69.72
3527.00,69.57
3526.00,69.45
3525.00,69.33
3524.00,69.17
3523.00,68.95
3522.00,68.73
3521.00,68.55
3520.00,68.42
3519.00,68.31
3518.00,68.19
3517.00,68.04
3516.00,67.86
3515.00,67.69
3514.00,67.54
3513.00,67.41
3512.00,67.29
3511.00,67.17
3510.00,67.03
3509.00,66.88
3508.00,66.73
3507.00,66.58
3506.00,66.42
3505.00,66.25
3504.00,66.09
3503.00,65.95
3502.00,65.84
3501.00,65.73
3500.00,65.62
3499.00,65.49
3498.00,65.35
3497.00,65.21
3496.00,65.07
3495.00,64.90
3494.00,64.72
3493.00,64.55
3492.00,64.39
3491.00,64.24
3490.00,64.11
3489.00,63.96
3488.00,63.80
3487.00,63.64
3486.00,63.49
3485.00,63.35
3484.00,63.21
3483.00,63.07
3482.00,62.94
3481.00,62.81
3480.00,62.68
3479.00,62.54
3478.00,62.39
3477.00,62.24
3476.00,62.08
3475.00,61.93
3474.00,61.79
3473.00,61.67
