Created as New Dataset,Sample 000 By Administrator Date Tuesday, December 15 2020
cm-1,%T
3650.00,88.05
3649.00,87.65
3648.00,87.39
3647.00,87.26
3646.00,87.16
3645.00,87.06
3644.00,86.92
3643.00,86.75
3642.00,86.59
3641.00,86.44
3640.00,86.33
3639.00,86.22
3638.00,86.12
3637.00,86.01
3636.00,85.90
3635.00,85.75
3634.00,85.58
3633.00,85.41
3632.00,85.28
3631.00,85.16
3630.00,84.97
3629.00,84.68
3628.00,84.42
3627.00,84.28
3626.00,84.23
3625.00,84.19
3624.00,84.15
3623.00,84.09
3622.00,83.99
3621.00,83.83
3620.00,83.62
3619.00,83.42
3618.00,83.26
3617.00,83.14
3616.00,83.01
3615.00,82.84
3614.00,82.64
3613.00,82.44
3612.00,82.27
3611.00,82.15
3610.00,82.06
3609.00,81.95
3608.00,81.80
3607.00,81.62
3606.00,81.45
3605.00,81.32
3604.00,81.23
3603.00,81.17
3602.00,81.12
3601.00,81.02
3600.00,80.86
3599.00,80.68
3598.00,80.48
3597.00,80.28
3596.00,80.06
3595.00,79.84
3594.00,79.66
3593.00,79.54
3592.00,79.45
3591.00,79.37
3590.00,79.28
3589.00,79.21
3588.00,79.11
3587.00,78.94
3586.00,78.70
3585.00,78.44
3584.00,78.21
3583.00,78.02
3582.00,77.89
3581.00,77.81
3580.00,77.78
3579.00,77.75
3578.00,77.68
3577.00,77.55
3576.00,77.36
3575.00,77.17
3574.00,77.03
3573.00,76.96
3572.00,76.93
3571.00,76.89
3570.00,76.82
3569.00,76.68
3568.00,76.44
3567.00,76.09
3566.00,75.75
3565.00,75.52
3564.00,75.41
3563.00,75.36
3562.00,75.30
3561.00,75.19
3560.00,75.04
3559.00,74.86
3558.00,74.67
3557.00,74.51
3556.00,74.39
3555.00,74.31
3554.00,74.20
3553.00,74.06
3552.00,73.90
3551.00,73.76
3550.00,73.66
3549.00,73.55
3548.00,73.38
3547.00,73.15
3546.00,72.88
3545.00,72.64
3544.00,72.47
3543.00,72.37
3542.00,72.29
3541.00,72.19
3540.00,72.04
3539.00,71.86
3538.00,71.70
3537.00,71.58
3536.00,71.48
3535.00,71.37
3534.00,71.23
3533.00,71.07
3532.00,70.89
3531.00,70.71
3530.00,70.54
3529.00,70.39
3528.00,70.23
3527.00,70.07
3526.00,69.88
3525.00,69.68
3524.00,69.49
3523.00,69.33
3522.00,69.20
3521.00,69.07
3520.00,68.90
3519.00,68.68
3518.00,68.46
3517.00,68.27
3516.00,68.14
3515.00,68.06
3514.00,67.99
3513.00,67.90
3512.00,67.77
3511.00,67.59
3510.00,67.35
3509.00,67.11
3508.00,66.91
3507.00,66.77
3506.00,66.67
3505.00,66.54
3504.00,66.38
3503.00,66.21
3502.00,66.07
3501.00,65.96
3500.00,65.85
3499.00,65.72
3498.00,65.57
3497.00,65.41
3496.00,65.26
3495.00,65.13
3494.00,64.97
3493.00,64.79
3492.00,64.59
3491.00,64.41
3490.00,64.24
3489.00,64.07
3488.00,63.91
3487.00,63.77
3486.00,63.67
3485.00,63.60
3484.00,63.57
3483.00,63.53
3482.00,63.42
3481.00,63.21
3480.00,62.93
3479.00,62.66
3478.00,62.46
3477.00,62.33
3476.00,62.22
3475.00,62.12
3474.00,62.00
3473.00,61.87
3472.00,61.74
3471.00,61.59
3470.00,61.42
3469.00,61.24
3468.00,61.06
3467.00,60.88
3466.00,60.71
3465.00,60.55
3464.00,60.41
3463.00,60.27
3462.00,60.12
3461.00,59.97
3460.00,59.83
3459.00,59.72
3458.00,59.62
3457.00,59.49
3456.00,59.33
3455.00,59.16
3454.00,59.01
3453.00,58.88
