# 200uL_3
36           ! nob
0.100484      ! init_vol (L)
0          ! Cs (mol/L)
1.0         ! Z
298.15      ! T (K)
0.002796      ! adsorbent_mass (g)
140        ! SSA (m^2/g)
-0.1      ! Nacid (eq/L)
3.827	0.0
3.827	0.002
3.828	0.004
3.828	0.006
4.798	0.278
4.833	0.282
4.846	0.284
4.858	0.288
4.875	0.29
5.084	0.322
5.121	0.326
5.138	0.33
5.157	0.332
5.385	0.36
5.432	0.366
5.82	0.4
5.899	0.402
5.929	0.404
5.947	0.406
5.963	0.408
6.553	0.44
7.092	0.456
7.263	0.458
7.323	0.46
7.352	0.462
7.865	0.482
8.088	0.494
8.329	0.51
8.531	0.53
8.761	0.558
8.979	0.592
9.201	0.636
9.442	0.69
9.661	0.752
9.858	0.828
10.101	0.928
