# 200uL_2
36           ! nob
0.10051      ! init_vol (L)
0          ! Cs (mol/L)
1.0         ! Z
298.15      ! T (K)
0.002796      ! adsorbent_mass (g)
140        ! SSA (m^2/g)
-0.1      ! Nacid (eq/L)
3.829	0.0
3.83	0.002
3.832	0.004
3.833	0.006
4.092	0.134
4.162	0.152
4.183	0.158
4.464	0.222
4.574	0.248
4.933	0.308
4.949	0.314
4.966	0.316
4.986	0.318
5.059	0.33
5.083	0.332
5.108	0.334
5.269	0.354
5.301	0.356
5.327	0.358
5.35	0.36
5.484	0.372
5.845	0.398
6.372	0.42
7.722	0.422
7.972	0.424
8.038	0.426
8.065	0.428
8.188	0.45
8.49	0.5
8.741	0.546
9.035	0.596
9.287	0.644
9.504	0.696
9.72	0.76
9.923	0.838
10.159	0.936
